,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
122,2024-08-26/2024-09-01,ADA/ETH,-6.615186142529134e-05,0.004778370500868438,2024-08-26,2024-09-01 23:59:59.999999999,calm_market,ADA,ETH
123,2024-09-02/2024-09-08,ADA/ETH,0.0007056149463197817,0.005052221000996535,2024-09-02,2024-09-08 23:59:59.999999999,bull_market,ADA,ETH
124,2024-09-09/2024-09-15,ADA/ETH,2.815058191686953e-06,0.004549469220603509,2024-09-09,2024-09-15 23:59:59.999999999,calm_market,ADA,ETH
125,2024-09-16/2024-09-22,ADA/ETH,-0.0004229634281671289,0.0038305361980059123,2024-09-16,2024-09-22 23:59:59.999999999,bear_market,ADA,ETH
126,2024-09-23/2024-09-29,ADA/ETH,0.0007019030135507572,0.004466363012851348,2024-09-23,2024-09-29 23:59:59.999999999,bull_market,ADA,ETH
127,2024-09-30/2024-10-06,ADA/ETH,-1.5245418573531839e-05,0.004395438286859538,2024-09-30,2024-10-06 23:59:59.999999999,calm_market,ADA,ETH
128,2024-10-07/2024-10-13,ADA/ETH,-6.122251503014607e-05,0.0033598697986946765,2024-10-07,2024-10-13 23:59:59.999999999,calm_market,ADA,ETH
129,2024-10-14/2024-10-20,ADA/ETH,-0.0003576966361984518,0.004152644455268066,2024-10-14,2024-10-20 23:59:59.999999999,bear_market,ADA,ETH
130,2024-10-21/2024-10-27,ADA/ETH,-8.839402577210683e-05,0.004370254110408908,2024-10-21,2024-10-27 23:59:59.999999999,calm_market,ADA,ETH
131,2024-10-28/2024-11-03,ADA/ETH,0.00033888688479848106,0.004814031395854779,2024-10-28,2024-11-03 23:59:59.999999999,bull_market,ADA,ETH
132,2024-11-04/2024-11-10,ADA/ETH,0.001669124897198904,0.013497161876262022,2024-11-04,2024-11-10 23:59:59.999999999,bull_market,ADA,ETH
133,2024-11-11/2024-11-17,ADA/ETH,0.0021362286379357142,0.0159088914755239,2024-11-11,2024-11-17 23:59:59.999999999,bull_market,ADA,ETH
134,2024-11-18/2024-11-24,ADA/ETH,0.002020606375138581,0.016067927089928057,2024-11-18,2024-11-24 23:59:59.999999999,bull_market,ADA,ETH
135,2024-11-25/2024-12-01,ADA/ETH,0.0001301386270442153,0.01137902024961657,2024-11-25,2024-12-01 23:59:59.999999999,volatile_market,ADA,ETH
136,2024-12-02/2024-12-08,ADA/ETH,-0.0006854121979924364,0.013209320909861327,2024-12-02,2024-12-08 23:59:59.999999999,bear_market,ADA,ETH
137,2024-12-09/2024-12-15,ADA/ETH,-9.025649426710211e-05,0.010549011246601292,2024-12-09,2024-12-15 23:59:59.999999999,volatile_market,ADA,ETH
138,2024-12-16/2024-12-22,ADA/ETH,-7.352334423195257e-05,0.00892368443109945,2024-12-16,2024-12-22 23:59:59.999999999,volatile_market,ADA,ETH
139,2024-12-23/2024-12-29,ADA/ETH,-0.0001999190815115958,0.005281664153459115,2024-12-23,2024-12-29 23:59:59.999999999,volatile_market,ADA,ETH
140,2024-12-30/2025-01-05,ADA/ETH,0.0013717505653146026,0.00840293671353811,2024-12-30,2025-01-05 23:59:59.999999999,bull_market,ADA,ETH
141,2025-01-06/2025-01-12,ADA/ETH,-3.836338112844893e-05,0.008378846004149409,2025-01-06,2025-01-12 23:59:59.999999999,volatile_market,ADA,ETH
142,2025-01-13/2025-01-19,ADA/ETH,0.0006223306267492092,0.008504017174269577,2025-01-13,2025-01-19 23:59:59.999999999,bull_market,ADA,ETH
143,2025-01-20/2025-01-26,ADA/ETH,-0.00032739797972118536,0.006207152940053907,2025-01-20,2025-01-26 23:59:59.999999999,bear_market,ADA,ETH
144,2025-01-27/2025-02-02,ADA/ETH,-0.0003287613898733954,0.005993920817193336,2025-01-27,2025-02-02 23:59:59.999999999,bear_market,ADA,ETH
145,2025-02-03/2025-02-09,ADA/ETH,-0.000311366758705512,0.01114058956485366,2025-02-03,2025-02-09 23:59:59.999999999,bear_market,ADA,ETH
146,2025-02-10/2025-02-16,ADA/ETH,0.0004197256533538431,0.007864410117322102,2025-02-10,2025-02-16 23:59:59.999999999,bull_market,ADA,ETH
147,2025-02-17/2025-02-23,ADA/ETH,-0.0003086082016946779,0.006922661303169621,2025-02-17,2025-02-23 23:59:59.999999999,bear_market,ADA,ETH
148,2025-02-24/2025-03-02,ADA/ETH,0.001215250443956183,0.02396170898542456,2025-02-24,2025-03-02 23:59:59.999999999,bull_market,ADA,ETH
149,2025-03-03/2025-03-09,ADA/ETH,-0.0009623863624991723,0.014465423687912413,2025-03-03,2025-03-09 23:59:59.999999999,bear_market,ADA,ETH
150,2025-03-10/2025-03-16,ADA/ETH,0.0002855651041395531,0.007086408765574419,2025-03-10,2025-03-16 23:59:59.999999999,volatile_market,ADA,ETH
151,2025-03-17/2025-03-23,ADA/ETH,-0.00037926946598702295,0.005046896372879175,2025-03-17,2025-03-23 23:59:59.999999999,bear_market,ADA,ETH
152,2025-03-24/2025-03-30,ADA/ETH,0.000263308473009505,0.004498892896335293,2025-03-24,2025-03-30 23:59:59.999999999,calm_market,ADA,ETH
153,2025-03-31/2025-04-06,ADA/ETH,2.9033862441571082e-05,0.004332652061428897,2025-03-31,2025-04-06 23:59:59.999999999,calm_market,ADA,ETH
154,2025-04-07/2025-04-13,ADA/ETH,0.0006323681683483188,0.0061538541933094295,2025-04-07,2025-04-13 23:59:59.999999999,bull_market,ADA,ETH
155,2025-04-14/2025-04-20,ADA/ETH,2.7733965839353204e-05,0.003445328007945753,2025-04-14,2025-04-20 23:59:59.999999999,calm_market,ADA,ETH
156,2025-04-21/2025-04-27,ADA/ETH,4.241529298450594e-05,0.005081199630522216,2025-04-21,2025-04-27 23:59:59.999999999,calm_market,ADA,ETH
