random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
328,26.17,21.38,21.35,20.29,26.17,21.38,21.35,20.29,32.89,32.89
329,30.17,25.17,22.25,20.55,30.17,25.17,22.25,20.55,33.11,33.11
33,29.61,23.86,17.14,20.48,29.61,23.86,17.14,20.48,32.62,32.62
330,28.4,23.63,16.44,19.86,28.4,23.63,16.44,19.86,32.93,32.93
331,27.85,23.43,17.5,20.32,27.85,23.43,17.5,20.32,32.82,32.82
332,25.25,22.95,17.43,20.34,25.25,22.95,17.43,20.34,32.5,32.5
333,26.16,22.66,19.09,20.44,26.16,22.66,19.09,20.44,32.22,32.22
334,28.72,24.72,15.43,19.87,28.72,24.72,15.43,19.87,32.25,32.25
335,27.63,25.83,15.03,20.36,27.63,25.83,15.03,20.36,32.58,32.58
336,27.1,21.37,20.8,20.15,27.1,21.37,20.8,20.15,32.64,32.64
337,26.57,23.29,18.38,20.65,26.57,23.29,18.38,20.65,32.9,32.9
338,27.35,21.1,21.49,20.17,27.35,21.1,21.49,20.17,32.72,32.72
339,26.52,20.57,21.8,20.69,26.52,20.57,21.8,20.69,33.3,33.3
34,26.97,23.55,16.96,20.38,26.97,23.55,16.96,20.38,32.65,32.65
340,29.07,23.38,18.52,20.58,29.07,23.38,18.52,20.58,33.07,33.07
341,29.3,21.64,20.86,20.81,29.3,21.64,20.86,20.81,33.11,33.11
342,27.12,22.2,18.28,20.26,27.12,22.2,18.28,20.26,32.58,32.58
343,26.17,22.73,21.92,20.21,26.17,22.73,21.92,20.21,32.77,32.77
344,27.44,20.91,19.52,20.55,27.44,20.91,19.52,20.55,32.78,32.78
345,30.51,25.23,14.96,20.31,30.51,25.23,14.96,20.31,32.75,32.75
346,29.35,23.49,17.32,20.28,29.35,23.49,17.32,20.28,32.67,32.67
347,29.97,24.96,15.18,20.21,29.97,24.96,15.18,20.21,32.8,32.8
348,29.12,23.85,22.47,20.19,29.12,23.85,22.47,20.19,32.95,32.95
349,30.19,23.51,16.3,19.93,30.19,23.51,16.3,19.93,32.63,32.63
35,28.95,22.57,18.95,20.27,28.95,22.57,18.95,20.27,32.56,32.56
350,27.03,24.77,15.53,20.09,27.03,24.77,15.53,20.09,32.22,32.22
351,26.49,24.11,16.7,20.72,26.49,24.11,16.7,20.72,32.87,32.87
352,28.35,21.81,22.17,20.5,28.35,21.81,22.17,20.5,33.05,33.05
353,28.54,22.99,17.73,20.21,28.54,22.99,17.73,20.21,32.73,32.73
354,26.86,24.19,16.2,20.24,26.86,24.19,16.2,20.24,32.41,32.41
355,29.64,24.93,22.88,20.2,29.64,24.93,22.88,20.2,32.9,32.9
356,29.38,21.95,22.18,20.39,29.38,21.95,22.18,20.39,32.9,32.9
357,27.83,22.31,18.89,20.28,27.83,22.31,18.89,20.28,32.92,32.92
358,26.87,21.15,20.23,20.16,26.87,21.15,20.23,20.16,33.06,33.06
